target,gr_code,model,gdt_ts,lddt,tm_score,inf_all,global_rmsd,clashscore
R1107,097,1,30.797,0.337440460345599,0.2087,0.56,17.32,0.45
R1107,119,1,27.899,0.4546195975374229,0.2513,0.74,17.77,3.62
R1107,119,2,24.275,0.4469240441089016,0.2409,0.71,19.69,4.07
R1107,119,3,31.884,0.4851908383976258,0.2606,0.77,13.79,2.71
R1107,119,4,27.174,0.4849416355635099,0.2236,0.7,19.22,2.71
R1107,119,5,30.797,0.487110832960473,0.2211,0.7,14.98,6.33
R1107,125,1,40.58,0.5743077541727315,0.3928,0.76,7.82,0.45
R1107,125,2,40.58,0.5742780197436609,0.3924,0.76,7.81,0.45
R1107,125,3,35.87,0.4534217248234341,0.2577,0.73,9.78,1.81
R1107,125,4,15.217,0.2883333427728346,0.2396,0.42,19.42,60.15
R1107,125,5,15.58,0.2948961560462838,0.2351,0.41,19.37,64.68
R1107,128,1,46.739,0.5936209738167113,0.3412,0.75,16.19,48.33
R1107,128,2,32.971,0.5317464587710902,0.2885,0.76,17.64,115.02
R1107,128,3,53.623,0.6873212394442777,0.3972,0.8,5.98,29.36
R1107,128,4,31.884,0.5075638723854942,0.2996,0.78,20.37,169.22
R1107,128,5,31.884,0.4948545278455848,0.2402,0.79,14.73,104.6
R1107,131,1,14.493,0.2944501396102241,0.1742,0.6,51.59,111.71
R1107,131,2,19.203,0.3165937937166904,0.172,0.66,49.3,70.46
R1107,131,3,17.029,0.3038419714209658,0.1839,0.64,51.22,80.89
R1107,131,4,15.58,0.3063708138171644,0.1719,0.64,43.97,82.77
R1107,131,5,17.754,0.3257066882642456,0.2446,0.59,37.3,77.41
R1107,147,1,18.841,0.3142957471270878,0.253,0.55,27.95,3.17
R1107,147,2,17.029,0.3191282998136642,0.2405,0.55,27.02,6.33
R1107,147,3,18.841,0.3111481454211811,0.2481,0.56,24.53,3.62
R1107,147,4,20.29,0.3102929266041016,0.2679,0.54,25.78,2.71
R1107,147,5,17.029,0.3207537819361927,0.2621,0.57,26.16,0.45
R1107,163,1,26.449,0.4545091553723033,0.2491,0.61,14.31,23.97
R1107,163,2,26.449,0.4028916024308603,0.2932,0.62,17.89,31.21
R1107,163,5,26.449,0.4067684056115947,0.2963,0.59,17.92,35.73
R1107,227,1,15.942,0.3152033551763393,0.2171,0.53,26.66,1.36
R1107,227,2,18.841,0.309784609459513,0.2396,0.56,25.62,4.98
R1107,227,3,18.116,0.3054462146655868,0.2718,0.52,26.42,4.52
R1107,227,4,16.667,0.3172451193058568,0.264,0.56,25.77,0.9
R1107,227,5,16.304,0.305709576751641,0.2449,0.54,25.01,4.52
R1107,229,1,26.449,0.4067684056115947,0.2963,0.59,17.92,35.73
R1107,229,2,26.449,0.4067684056115947,0.2963,0.59,17.92,35.73
R1107,229,3,26.449,0.4067684056115947,0.2963,0.59,17.92,35.73
R1107,229,4,26.449,0.4067684056115947,0.2963,0.59,17.92,35.73
R1107,229,5,26.449,0.4067684056115947,0.2963,0.59,17.92,35.73
R1107,232,1,66.667,0.7241848518659062,0.5644,0.87,4.52,14.93
R1107,232,2,61.232,0.7210499934867441,0.4984,0.85,4.85,9.05
R1107,232,3,56.522,0.7278166999881063,0.4872,0.86,5.94,17.19
R1107,232,4,58.696,0.7099774584709141,0.488,0.88,5.31,11.76
R1107,232,5,62.681,0.7206053929758783,0.4729,0.85,5.02,10.4
R1107,235,1,28.986,0.4256143699416072,0.2135,0.72,25.01,7.24
R1107,235,2,19.565,0.3231509432893641,0.1558,0.57,26.73,18.09
R1107,235,3,24.638,0.4235442873082129,0.2711,0.71,31.11,10.4
R1107,235,4,26.449,0.4209673034554238,0.2319,0.71,28.15,12.66
R1107,235,5,17.391,0.3582956225256707,0.1923,0.59,19.17,4.07
R1107,238,1,27.174,0.4071676965162576,0.2668,0.61,18.18,159.82
R1107,245,1,20.29,0.3178752060171157,0.2564,0.49,23.54,1.81
R1107,245,2,21.014,0.3230291737226939,0.1753,0.5,21.4,4.52
R1107,245,3,17.391,0.3435218590531425,0.2137,0.6,23.66,6.33
R1107,245,4,18.116,0.3280911062906724,0.1913,0.5,18.26,6.33
R1107,245,5,14.855,0.2912090868415239,0.1442,0.47,19.04,12.21
R1107,248,1,34.42,0.3950870227624134,0.3742,0.61,23.59,15.83
R1107,248,2,31.522,0.4032979729614925,0.323,0.6,22.94,11.31
R1107,248,3,29.71,0.3953702078011814,0.2858,0.57,23.55,14.93
R1107,248,4,29.348,0.3995344437962653,0.3005,0.62,23.43,13.12
R1107,248,5,29.348,0.3982742703737476,0.2837,0.59,22.97,22.61
R1107,285,1,22.826,0.3549568709185956,0.2447,0.47,21.1,2.71
R1107,285,2,22.464,0.3543409434592751,0.2517,0.44,21.29,2.26
R1107,285,3,20.29,0.3430135419085539,0.2618,0.44,19.81,0.9
R1107,285,4,23.913,0.3450057486562869,0.2532,0.45,21.66,3.16
R1107,285,5,20.652,0.3395983303410114,0.2357,0.43,21.3,0.45
R1107,287,1,52.174,0.6800660387510407,0.4101,0.85,6.69,3.17
R1107,287,2,53.261,0.6722472998306553,0.4191,0.85,6.48,0.9
R1107,287,3,40.58,0.5335206130389719,0.3291,0.8,16.5,1.81
R1107,287,4,51.087,0.6764214473020962,0.4041,0.84,6.55,0.9
R1107,287,5,42.029,0.5369910456890742,0.3404,0.78,15.86,1.36
R1107,385,1,19.565,0.3310064962647893,0.2636,0.5,23.09,3.62
R1107,385,2,21.014,0.3230291737226939,0.1753,0.5,21.4,4.52
R1107,385,3,17.391,0.3435218590531425,0.2137,0.6,23.66,6.33
R1107,385,4,18.116,0.3280911062906724,0.1913,0.5,18.26,6.33
R1107,385,5,14.855,0.2912090868415239,0.1442,0.47,19.04,12.21
R1107,392,1,34.058,0.5393740477903072,0.2873,0.78,16.65,28.04
R1107,392,2,28.261,0.5046031728051743,0.2289,0.74,18.02,9.5
R1107,392,3,29.348,0.4907398492322853,0.2233,0.72,18.15,5.43
R1107,392,4,27.899,0.5030994602493161,0.232,0.76,17.86,4.07
R1107,392,5,28.986,0.4830910213351608,0.2393,0.73,19.61,10.4
R1107,416,1,47.464,0.6022751086014624,0.4623,0.78,5.92,24.42
R1107,416,2,39.855,0.5761073950941024,0.3922,0.77,7.81,14.02
R1107,416,3,40.217,0.5801880915027497,0.3898,0.76,7.74,6.78
R1107,416,4,34.783,0.443412549628178,0.2414,0.69,10.17,34.37
R1107,416,5,46.377,0.5961257454846146,0.4644,0.76,6.51,19.45
R1107,434,1,17.029,0.3097902731602884,0.2669,0.53,25.06,3.17
R1107,434,2,15.942,0.3054518783663622,0.2465,0.56,23.54,1.36
R1107,434,3,19.203,0.3116154007351484,0.2813,0.55,25.71,1.81
R1107,434,4,17.754,0.3118759309708149,0.2607,0.53,29.39,6.78
R1107,434,5,17.754,0.3134192894321007,0.2621,0.56,26.35,2.26
R1107,439,1,35.507,0.4889826860667297,0.2848,0.75,19.31,12.21
R1107,439,2,26.449,0.4067684056115947,0.2963,0.59,17.92,35.73
R1107,439,3,23.913,0.408182914880241,0.264,0.58,20.0,24.88
R1107,439,4,35.507,0.4889826860667297,0.2848,0.75,19.31,12.21
R1107,439,5,26.449,0.4067684056115947,0.2963,0.59,17.92,35.73
R1107,470,1,44.565,0.564294331201894,0.3809,0.83,6.62,119.58
R1107,470,2,44.565,0.5560281599202551,0.3811,0.8,6.93,97.79
R1107,470,3,43.478,0.5658645922418627,0.3752,0.81,6.52,102.7
R1107,470,4,44.203,0.5621874345134598,0.3765,0.83,6.69,127.43
R1107,470,5,47.826,0.5665513159608752,0.4199,0.8,6.1,106.95
R1107,489,1,44.565,0.564294331201894,0.3809,0.83,6.62,119.58
R1107,489,2,44.565,0.5560281599202551,0.3811,0.8,6.93,97.79
R1107,489,3,43.478,0.5658645922418627,0.3752,0.81,6.52,102.7
R1107,489,4,44.203,0.5621874345134598,0.3765,0.83,6.69,127.43
R1107,489,5,47.826,0.5665513159608752,0.4199,0.8,6.1,106.95
R1108,029,1,46.014,0.5745223077502274,0.3836,0.73,16.4,0.0
R1108,029,2,34.783,0.4326713118219782,0.2684,0.64,16.25,0.0
R1108,035,1,25.362,0.4471019906981054,0.206,0.63,25.27,3.16
R1108,035,2,26.812,0.4280609082958304,0.228,0.63,23.6,1.81
R1108,035,3,27.536,0.4291324216781637,0.2401,0.62,21.49,2.26
R1108,035,4,26.087,0.4612097675684755,0.223,0.73,23.57,4.97
R1108,035,5,28.261,0.3774898206228678,0.2645,0.5,24.43,4.07
R1108,054,1,51.449,0.6313805725935837,0.4298,0.81,6.45,0.9
R1108,054,2,51.449,0.6310446386683116,0.4309,0.8,6.45,0.45
R1108,054,3,51.087,0.6274145250878931,0.4363,0.8,6.41,1.36
R1108,054,4,53.261,0.6557734299432967,0.4197,0.86,6.61,1.36
R1108,054,5,49.275,0.6360590316994202,0.3511,0.87,6.56,0.9
R1108,081,1,43.478,0.5649438469068016,0.3756,0.77,13.88,0.0
R1108,081,2,48.551,0.566491749346956,0.3462,0.81,12.93,0.0
R1108,081,3,48.913,0.5765900389799192,0.3938,0.8,12.66,0.0
R1108,081,4,43.841,0.5117287275633786,0.3238,0.78,8.48,0.9
R1108,091,1,14.855,0.2335537175722402,0.1475,0.24,58.0,1.85
R1108,091,2,17.391,0.2244053100728049,0.1516,0.24,58.13,0.46
R1108,091,3,14.855,0.2343703845285051,0.1435,0.22,57.82,2.78
R1108,091,4,13.768,0.2259097727812433,0.1378,0.24,61.3,0.46
R1108,091,5,14.493,0.2386101023440079,0.1672,0.24,57.45,1.39
R1108,097,1,20.29,0.3459974631196678,0.1826,0.54,29.43,0.9
R1108,119,1,28.623,0.5112262746665277,0.2526,0.79,19.14,3.62
R1108,119,2,31.884,0.5271194245104343,0.2422,0.74,17.57,4.52
R1108,119,3,32.971,0.4965103415521306,0.2161,0.77,16.57,4.97
R1108,119,4,31.159,0.4839026834170272,0.2121,0.72,17.36,0.45
R1108,119,5,37.319,0.5365704621408258,0.3105,0.78,16.11,5.42
R1108,125,1,48.188,0.6399483356790788,0.3385,0.84,6.58,1.36
R1108,125,2,49.638,0.640773690581687,0.3392,0.86,6.56,0.45
R1108,125,3,48.551,0.6443299566181879,0.3371,0.86,6.57,0.45
R1108,125,4,48.913,0.6394704986302004,0.3493,0.85,6.62,1.36
R1108,125,5,49.275,0.6374838548997122,0.3519,0.85,6.63,0.0
R1108,128,1,55.797,0.6258289748802511,0.4751,0.78,16.09,48.31
R1108,128,2,32.246,0.5463632256607183,0.3054,0.79,17.64,113.42
R1108,128,3,64.855,0.7417145951706602,0.5443,0.84,5.48,29.39
R1108,128,4,32.971,0.5236065982056495,0.2706,0.81,20.64,171.4
R1108,128,5,33.696,0.5199706926610022,0.2805,0.81,14.55,106.55
R1108,131,1,17.391,0.3054247536967212,0.1545,0.62,57.8,94.03
R1108,131,2,15.58,0.3155027714548835,0.158,0.67,52.27,68.69
R1108,131,3,19.565,0.3314856967443369,0.183,0.68,44.99,107.59
R1108,131,4,17.029,0.3183596578107533,0.1791,0.68,36.97,72.75
R1108,131,5,19.565,0.3373935002577424,0.1634,0.66,50.07,72.33
R1108,147,1,36.957,0.5323915599497258,0.2863,0.74,20.12,6.78
R1108,147,2,26.087,0.5466151761046724,0.2234,0.76,16.0,5.88
R1108,147,3,34.42,0.5542663608509554,0.277,0.76,18.94,5.42
R1108,147,4,25.362,0.5396894348780502,0.2492,0.76,16.77,5.88
R1108,147,5,34.783,0.5523231568521833,0.2821,0.76,17.93,3.62
R1108,163,1,40.58,0.6014332215484237,0.3669,0.75,7.93,63.29
R1108,227,1,35.145,0.5469149102535142,0.2599,0.76,16.95,5.88
R1108,227,2,26.812,0.5197621819487643,0.2301,0.73,25.52,4.52
R1108,227,3,26.087,0.5506376952615941,0.2086,0.77,19.1,3.16
R1108,227,4,26.087,0.543244252923494,0.2512,0.76,17.81,7.23
R1108,227,5,34.42,0.5420815161045566,0.2713,0.73,18.2,5.88
R1108,229,1,40.217,0.5643313466896028,0.4016,0.76,9.13,34.36
R1108,229,2,40.217,0.5643313466896028,0.4016,0.76,9.13,34.36
R1108,229,3,40.217,0.5643313466896028,0.4016,0.76,9.13,34.36
R1108,229,4,40.217,0.5643313466896028,0.4016,0.76,9.13,34.36
R1108,229,5,40.217,0.5643313466896028,0.4016,0.76,9.13,34.36
R1108,232,1,56.522,0.7368956809322745,0.4646,0.88,5.32,11.3
R1108,232,2,61.232,0.7545336600001158,0.5222,0.87,4.63,8.14
R1108,232,3,60.145,0.7539008879081163,0.5221,0.88,6.22,16.73
R1108,232,4,64.13,0.7476600464515532,0.5368,0.88,4.49,15.37
R1108,232,5,60.87,0.7456603708015499,0.5172,0.87,4.94,9.95
R1108,235,1,34.783,0.4655407088205823,0.2899,0.76,33.66,4.52
R1108,235,2,28.623,0.4064409538206692,0.2568,0.67,19.74,14.92
R1108,235,3,28.261,0.4725649134390946,0.2508,0.69,19.3,10.4
R1108,235,4,26.087,0.4647645856139192,0.2243,0.67,23.0,15.37
R1108,235,5,26.087,0.4599702872235061,0.2267,0.71,20.7,7.69
R1108,238,1,46.014,0.6560499962352232,0.3886,0.82,9.59,144.75
R1108,245,1,21.739,0.3927559903390036,0.1926,0.64,22.08,16.79
R1108,248,1,32.246,0.4306861160825471,0.2849,0.69,29.04,13.56
R1108,248,2,30.072,0.424516226187787,0.2717,0.7,33.25,14.47
R1108,248,3,31.522,0.4223630634857199,0.2639,0.66,32.65,15.37
R1108,248,4,29.71,0.4228799962931429,0.2836,0.69,30.93,14.92
R1108,248,5,28.986,0.4969215710123774,0.2647,0.72,18.15,12.66
R1108,285,1,25.362,0.4332374763253462,0.2165,0.57,20.99,2.71
R1108,285,2,21.739,0.4235460721794582,0.1822,0.57,22.13,2.26
R1108,285,3,25.0,0.4330188296757079,0.2106,0.55,20.39,0.9
R1108,285,4,25.0,0.4277640701291029,0.2036,0.56,20.57,1.81
R1108,285,5,23.913,0.4216463079124023,0.2217,0.55,20.95,1.36
R1108,287,1,57.246,0.7234322600823617,0.5078,0.87,6.18,3.16
R1108,287,2,59.058,0.7154654132856075,0.5197,0.89,5.95,1.36
R1108,287,3,46.014,0.5733943227166629,0.4014,0.82,16.69,1.81
R1108,287,4,57.246,0.7174404730876383,0.5052,0.87,5.98,4.97
R1108,287,5,48.913,0.5789517123942243,0.4146,0.8,15.95,3.16
R1108,385,1,22.826,0.3859779442002166,0.212,0.65,22.09,12.21
R1108,385,2,18.841,0.3869567861548887,0.1667,0.67,20.98,7.68
R1108,385,3,19.565,0.3558293223981049,0.2062,0.62,20.81,11.75
R1108,385,4,19.928,0.4173139186692383,0.1947,0.65,20.42,8.14
R1108,385,5,17.391,0.3445813278657191,0.1783,0.62,22.32,10.4
R1108,416,1,56.884,0.6605489044499662,0.5089,0.84,5.43,1.81
R1108,416,2,56.522,0.6622633258616994,0.4728,0.82,4.95,15.82
R1108,416,3,59.058,0.6801416714450371,0.5143,0.87,4.8,7.69
R1108,416,4,58.333,0.6891829276062391,0.5348,0.87,4.91,3.62
R1108,416,5,47.826,0.6445905950084853,0.3396,0.81,6.61,5.42
R1108,434,1,25.725,0.5276464932552577,0.213,0.73,24.47,7.23
R1108,434,2,26.812,0.5293507787295906,0.2318,0.73,24.91,4.07
R1108,434,3,32.246,0.546822238825853,0.3093,0.74,17.75,7.23
R1108,434,4,26.087,0.5197694219040503,0.2154,0.73,25.22,6.33
R1108,434,5,27.536,0.5385513139070853,0.2515,0.72,23.01,8.14
R1108,439,1,36.594,0.5140947449508552,0.2808,0.77,14.82,4.07
R1108,439,2,32.609,0.5113652818080195,0.2744,0.8,17.91,9.95
R1108,439,3,30.072,0.5112812983267015,0.2495,0.76,15.82,6.78
R1108,439,4,22.826,0.4162337173405617,0.1664,0.72,25.43,23.51
R1108,439,5,27.899,0.4187561177622167,0.2282,0.68,22.08,5.42
R1108,470,1,51.449,0.6555084475798277,0.4531,0.85,5.58,111.86
R1108,470,2,48.913,0.636937962271145,0.4399,0.86,5.58,102.53
R1108,470,3,47.464,0.6409054577678929,0.4165,0.87,6.01,103.39
R1108,470,4,52.174,0.6465772387389735,0.4732,0.86,5.28,86.6
R1108,470,5,29.348,0.5960886865562718,0.365,0.77,9.34,175.37
R1108,489,1,51.449,0.6555084475798277,0.4531,0.85,5.58,111.86
R1108,489,2,48.913,0.636937962271145,0.4399,0.86,5.58,102.53
R1108,489,3,47.464,0.6409054577678929,0.4165,0.87,6.01,103.39
R1108,489,4,52.174,0.6465772387389735,0.4732,0.86,5.28,86.6
R1108,489,5,29.348,0.5960886865562718,0.365,0.77,9.34,175.37
R1116,029,1,32.877,0.4776881676607101,0.4328,0.63,21.46,12.51
R1116,029,2,9.075,0.2416253484586309,0.2474,0.36,41.52,17.48
R1116,029,3,9.247,0.2457003057819097,0.3012,0.35,42.5,44.9
R1116,035,1,19.521,0.4470220614777673,0.2752,0.67,26.51,11.32
R1116,035,2,20.377,0.4557291606018757,0.2845,0.65,22.32,15.3
R1116,035,3,19.007,0.4876982749987773,0.3088,0.72,23.95,13.91
R1116,035,4,20.548,0.5187952239334312,0.3157,0.74,23.6,18.47
R1116,035,5,20.377,0.4699603624668426,0.3198,0.7,25.33,15.1
R1116,054,1,26.027,0.5602096923316977,0.3972,0.78,15.56,129.52
R1116,054,2,24.486,0.5526396687401459,0.4144,0.78,16.49,123.43
R1116,054,3,22.774,0.5515817751187146,0.3103,0.79,21.36,6.16
R1116,054,4,36.473,0.6475898423581304,0.4972,0.83,7.94,21.23
R1116,054,5,20.719,0.5172313811887068,0.3044,0.76,20.97,3.77
R1116,076,1,26.712,0.5885649675936384,0.3685,0.79,16.65,4.17
R1116,076,2,19.692,0.4050696218597968,0.2383,0.6,30.95,4.77
R1116,076,3,27.397,0.5679444841647822,0.4046,0.77,19.17,3.97
R1116,076,4,19.521,0.4807238624004695,0.3228,0.68,24.19,4.57
R1116,076,5,19.863,0.4703824719195325,0.2568,0.68,28.43,7.15
R1116,081,1,36.13,0.6698865369791169,0.504,0.87,12.65,23.24
R1116,081,2,40.24,0.6533899173480581,0.5316,0.82,14.79,12.12
R1116,081,3,39.212,0.6436726666371675,0.5191,0.81,15.07,13.91
R1116,081,4,33.562,0.6186599160205967,0.4123,0.78,18.11,16.49
R1116,081,5,38.699,0.5958956987920101,0.4817,0.74,16.4,0.79
R1116,091,1,8.219,0.2216942134325125,0.1431,0.43,82.08,6.16
R1116,091,2,7.534,0.2288863762864149,0.1267,0.39,80.69,5.56
R1116,091,3,8.219,0.2233011404524081,0.107,0.41,106.44,5.56
R1116,091,4,8.562,0.2270867344681188,0.1253,0.46,92.34,6.95
R1116,091,5,7.021,0.2304234369141412,0.1075,0.43,104.32,0.79
R1116,097,1,7.877,0.1899015116758385,0.1637,0.32,40.88,1.39
R1116,110,1,38.185,0.6414555731256594,0.5439,0.81,15.01,62.38
R1116,110,2,40.24,0.6501673300092456,0.5352,0.81,13.93,83.25
R1116,110,3,39.384,0.6475013449280492,0.5414,0.83,13.8,82.64
R1116,110,4,39.212,0.6330570505669658,0.54,0.79,15.84,55.64
R1116,110,5,40.068,0.6350627982421616,0.5374,0.81,14.79,73.3
R1116,119,1,25.685,0.5371695028540421,0.3809,0.78,18.29,1.99
R1116,119,2,23.973,0.5765374681816806,0.3345,0.8,18.66,1.99
R1116,119,3,16.096,0.5235071298653209,0.2469,0.78,25.11,3.97
R1116,119,4,28.767,0.5777368412472549,0.4089,0.79,18.52,4.37
R1116,119,5,23.973,0.5590883367373792,0.3506,0.79,16.63,4.17
R1116,125,1,31.849,0.5658793500562425,0.4362,0.79,12.17,6.95
R1116,125,2,27.74,0.5515351975239351,0.377,0.81,13.43,5.96
R1116,125,3,24.486,0.5498991595073022,0.3616,0.8,12.25,6.35
R1116,125,4,20.719,0.5427564853478531,0.2723,0.79,23.12,7.35
R1116,125,5,28.767,0.5889620415891343,0.4061,0.8,14.59,9.33
R1116,131,1,10.616,0.2740322922464607,0.2324,0.49,39.09,108.92
R1116,131,2,9.589,0.2818986657847975,0.1728,0.54,58.17,93.76
R1116,131,3,15.068,0.2825891786274048,0.1994,0.53,59.43,102.13
R1116,131,4,11.13,0.2811179088523047,0.2228,0.47,32.62,99.98
R1116,131,5,11.301,0.2793782356872873,0.2686,0.49,54.09,89.5
R1116,147,1,34.075,0.5455971364094729,0.4497,0.76,11.89,0.4
R1116,147,2,24.144,0.5330916344310896,0.3528,0.79,17.63,0.4
R1116,147,3,27.055,0.5285043235652355,0.3755,0.75,17.28,0.6
R1116,147,4,27.397,0.59450419314797,0.4234,0.81,14.56,0.2
R1116,147,5,26.37,0.5197186247499366,0.3708,0.76,16.26,0.6
R1116,163,1,25.342,0.4547970264863493,0.3492,0.55,19.8,207.39
R1116,163,2,22.26,0.4496927043184417,0.3378,0.53,15.64,303.14
R1116,163,3,27.568,0.479937865488564,0.4199,0.58,15.8,288.64
R1116,177,1,7.877,0.2695981052234443,0.2156,0.37,37.92,266.21
R1116,185,1,37.158,0.6589978597595199,0.4904,0.83,16.15,13.71
R1116,185,2,40.582,0.6625185437049216,0.5032,0.85,18.26,11.72
R1116,185,3,37.329,0.6565315761159409,0.5,0.82,16.41,11.12
R1116,185,4,36.986,0.6579655838152174,0.4838,0.81,16.34,16.29
R1116,185,5,40.582,0.6588226115591617,0.4961,0.84,19.17,11.32
R1116,227,1,34.075,0.5455971364094729,0.4497,0.76,11.89,0.4
R1116,227,2,24.144,0.5330916344310896,0.3528,0.79,17.63,0.4
R1116,227,3,27.055,0.5285043235652355,0.3755,0.75,17.28,0.6
R1116,227,4,27.397,0.59450419314797,0.4234,0.81,14.56,0.2
R1116,227,5,26.37,0.5197186247499366,0.3708,0.76,16.26,0.6
R1116,229,1,41.952,0.5623545905712974,0.5433,0.72,12.21,16.49
R1116,229,2,41.438,0.5583937483552287,0.5232,0.73,14.34,24.43
R1116,229,3,42.123,0.5599022802061524,0.5352,0.73,13.31,23.45
R1116,229,4,40.068,0.5876380734575247,0.5117,0.74,13.34,21.06
R1116,229,5,40.925,0.6559481917413267,0.5235,0.77,10.88,53.24
R1116,232,1,39.212,0.6935747372441434,0.49,0.87,23.3,13.11
R1116,232,2,36.815,0.686699884254677,0.4596,0.88,17.86,16.89
R1116,232,3,38.87,0.6926332876096611,0.4852,0.87,23.15,14.1
R1116,232,4,38.014,0.6890415728322206,0.4666,0.87,21.83,13.31
R1116,232,5,38.356,0.6841689741983413,0.4724,0.87,17.26,10.13
R1116,235,1,26.541,0.5118644778302294,0.366,0.68,15.49,311.76
R1116,235,2,22.089,0.5088311119702089,0.3362,0.67,16.01,323.66
R1116,235,3,39.212,0.5819381402963733,0.4858,0.8,14.84,4.37
R1116,235,4,36.644,0.5673121933156494,0.4678,0.78,18.08,3.18
R1116,235,5,28.082,0.5242739135193798,0.4155,0.66,13.4,328.07
R1116,238,1,31.336,0.6075505774457313,0.4525,0.77,13.49,215.07
R1116,238,2,28.938,0.523219513217557,0.4029,0.62,12.99,335.29
R1116,239,1,40.925,0.6356083383210175,0.5016,0.76,12.54,47.68
R1116,239,2,46.747,0.635038927224837,0.6067,0.72,11.41,56.02
R1116,239,3,40.753,0.5894906972898827,0.5163,0.73,14.66,30.19
R1116,239,4,39.897,0.5837616531319939,0.5141,0.72,16.96,26.82
R1116,239,5,40.24,0.5867327214589966,0.5032,0.73,15.53,25.82
R1116,245,1,9.932,0.3155457380336336,0.166,0.58,35.28,4.37
R1116,245,2,13.185,0.3445257352855556,0.1882,0.61,22.72,9.34
R1116,245,3,11.986,0.3347007738867372,0.1557,0.6,30.58,6.75
R1116,245,4,11.13,0.3354366998842547,0.1635,0.58,28.75,6.16
R1116,245,5,13.356,0.3268157693104885,0.1643,0.54,31.05,7.75
R1116,248,1,13.185,0.3209353479695662,0.3065,0.45,39.17,16.69
R1116,248,2,13.014,0.330512865896118,0.3308,0.48,38.31,11.92
R1116,248,3,17.979,0.4164741459415777,0.2428,0.63,28.55,16.09
R1116,248,4,12.158,0.3017011302053373,0.2835,0.46,51.02,13.31
R1116,248,5,16.267,0.3384269814691039,0.2372,0.51,36.9,13.11
R1116,285,1,46.233,0.6739545076631788,0.5706,0.86,5.52,1.59
R1116,285,2,28.425,0.6125262290080603,0.3827,0.82,11.89,1.19
R1116,285,3,36.13,0.6374714421122007,0.4828,0.82,6.65,1.59
R1116,285,4,24.486,0.465946538236712,0.3455,0.65,16.41,2.18
R1116,285,5,55.479,0.6671495210658817,0.6608,0.87,4.84,1.19
R1116,287,1,36.644,0.6628527379474651,0.434,0.85,19.15,1.19
R1116,287,2,36.301,0.6643018833650449,0.4423,0.84,18.22,0.79
R1116,287,3,36.301,0.6633994424661905,0.4364,0.84,18.45,0.79
R1116,287,4,36.301,0.6645301135794649,0.4485,0.85,17.99,0.99
R1116,287,5,35.959,0.6600988376561223,0.4427,0.84,18.5,0.79
R1116,385,1,9.932,0.3155457380336336,0.166,0.58,35.28,4.37
R1116,385,2,13.185,0.3445257352855556,0.1882,0.61,22.72,9.34
R1116,385,3,11.986,0.3347007738867372,0.1557,0.6,30.58,6.75
R1116,385,4,11.13,0.3354366998842547,0.1635,0.58,28.75,6.16
R1116,385,5,13.356,0.3268157693104885,0.1643,0.54,31.05,7.75
R1116,392,1,18.836,0.43988695617747,0.2712,0.63,21.22,22.84
R1116,392,2,17.295,0.4594256749675703,0.2617,0.66,27.06,24.83
R1116,392,3,21.747,0.4329725122324408,0.2953,0.61,21.6,0.2
R1116,392,4,19.863,0.4305970548986821,0.3076,0.6,21.99,0.0
R1116,392,5,18.664,0.4481405059724121,0.2691,0.64,24.6,0.2
R1116,416,1,39.897,0.5869603694534818,0.4858,0.77,15.49,3.97
